20
30 60
0 1 1000
1 2 1000
2 3 1000
3 4 1000
4 5 1000
5 6 1000
6 7 1000
7 8 1000
8 9 1000
9 10 1000
10 11 1000
11 12 1000
12 13 1000
13 14 1000
14 15 1000
15 16 1000
16 17 1000
17 18 1000
18 19 1000
19 20 1000
20 21 1000
21 22 1000
22 23 1000
23 24 1000
24 25 1000
25 26 1000
26 27 1000
27 28 1000
28 29 1000
2 20 676
4 16 408
7 26 805
5 26 606
17 26 703
6 19 145
1 21 234
19 25 231
20 22 263
0 6 31
6 8 383
12 27 573
21 24 766
3 11 579
9 27 964
5 22 188
1 25 113
1 23 485
6 28 475
8 20 44
14 21 590
3 21 709
13 15 814
7 17 236
3 17 405
9 13 485
5 17 802
2 9 743
0 21 732
24 27 400
10 17 672
30 60
0 1 1000
1 2 1000
2 3 1000
3 4 1000
4 5 1000
5 6 1000
6 7 1000
7 8 1000
8 9 1000
9 10 1000
10 11 1000
11 12 1000
12 13 1000
13 14 1000
14 15 1000
15 16 1000
16 17 1000
17 18 1000
18 19 1000
19 20 1000
20 21 1000
21 22 1000
22 23 1000
23 24 1000
24 25 1000
25 26 1000
26 27 1000
27 28 1000
28 29 1000
22 24 319
2 19 77
19 28 575
9 24 66
8 19 869
11 28 324
16 18 487
3 6 188
7 9 124
10 14 869
11 14 948
23 26 228
0 10 722
16 21 930
11 13 108
0 28 773
20 27 439
5 16 330
4 16 405
10 16 361
13 27 678
2 9 279
6 23 496
11 15 361
3 16 68
5 12 727
16 19 145
4 29 262
0 7 96
26 29 639
7 13 955
30 60
0 1 1000
1 2 1000
2 3 1000
3 4 1000
4 5 1000
5 6 1000
6 7 1000
7 8 1000
8 9 1000
9 10 1000
10 11 1000
11 12 1000
12 13 1000
13 14 1000
14 15 1000
15 16 1000
16 17 1000
17 18 1000
18 19 1000
19 20 1000
20 21 1000
21 22 1000
22 23 1000
23 24 1000
24 25 1000
25 26 1000
26 27 1000
27 28 1000
28 29 1000
2 25 390
3 13 842
0 3 524
3 18 726
3 8 742
4 16 272
2 9 447
10 20 979
19 28 272
6 18 370
17 22 901
4 10 954
4 11 283
6 14 64
2 12 680
0 18 846
5 29 195
2 5 271
5 14 474
4 13 160
8 20 26
8 24 829
5 25 38
14 22 341
2 26 891
11 26 876
7 17 526
5 9 229
3 14 187
0 26 98
10 15 922
30 60
0 1 1000
1 2 1000
2 3 1000
3 4 1000
4 5 1000
5 6 1000
6 7 1000
7 8 1000
8 9 1000
9 10 1000
10 11 1000
11 12 1000
12 13 1000
13 14 1000
14 15 1000
15 16 1000
16 17 1000
17 18 1000
18 19 1000
19 20 1000
20 21 1000
21 22 1000
22 23 1000
23 24 1000
24 25 1000
25 26 1000
26 27 1000
27 28 1000
28 29 1000
4 12 593
2 26 274
7 11 637
9 16 676
13 27 206
10 16 22
3 8 162
1 26 950
3 7 972
13 18 235
7 18 995
10 18 285
20 23 676
3 11 506
7 20 711
19 25 219
0 22 223
2 12 181
7 14 228
1 7 902
1 4 300
16 21 63
20 26 311
5 21 408
18 29 334
6 18 753
8 23 930
3 5 555
0 16 358
3 6 192
1 6 644
30 60
0 1 1000
1 2 1000
2 3 1000
3 4 1000
4 5 1000
5 6 1000
6 7 1000
7 8 1000
8 9 1000
9 10 1000
10 11 1000
11 12 1000
12 13 1000
13 14 1000
14 15 1000
15 16 1000
16 17 1000
17 18 1000
18 19 1000
19 20 1000
20 21 1000
21 22 1000
22 23 1000
23 24 1000
24 25 1000
25 26 1000
26 27 1000
27 28 1000
28 29 1000
1 16 507
8 12 607
10 23 743
4 8 7
6 24 320
25 27 561
5 20 587
16 24 763
11 26 90
20 29 339
1 18 95
21 28 245
0 7 595
4 6 837
7 28 918
6 15 269
1 26 402
10 13 777
17 24 262
9 23 49
7 17 981
18 26 897
10 19 757
0 25 243
2 13 983
4 10 794
2 11 274
9 21 560
6 29 540
23 27 33
11 20 357
30 60
0 1 1000
1 2 1000
2 3 1000
3 4 1000
4 5 1000
5 6 1000
6 7 1000
7 8 1000
8 9 1000
9 10 1000
10 11 1000
11 12 1000
12 13 1000
13 14 1000
14 15 1000
15 16 1000
16 17 1000
17 18 1000
18 19 1000
19 20 1000
20 21 1000
21 22 1000
22 23 1000
23 24 1000
24 25 1000
25 26 1000
26 27 1000
27 28 1000
28 29 1000
6 21 126
11 20 329
1 22 217
2 6 139
6 29 54
23 29 747
14 18 795
15 29 665
1 13 714
15 25 766
12 29 423
7 24 443
1 5 465
14 28 849
3 17 533
11 29 197
16 22 765
0 16 427
4 12 945
7 12 151
2 20 571
1 14 181
2 11 304
15 21 388
0 8 77
8 22 8
0 27 275
20 23 365
6 11 678
12 28 949
11 19 239
30 60
0 1 1000
1 2 1000
2 3 1000
3 4 1000
4 5 1000
5 6 1000
6 7 1000
7 8 1000
8 9 1000
9 10 1000
10 11 1000
11 12 1000
12 13 1000
13 14 1000
14 15 1000
15 16 1000
16 17 1000
17 18 1000
18 19 1000
19 20 1000
20 21 1000
21 22 1000
22 23 1000
23 24 1000
24 25 1000
25 26 1000
26 27 1000
27 28 1000
28 29 1000
13 22 601
0 16 817
14 16 869
7 26 99
7 15 677
0 12 21
5 21 362
12 24 523
4 27 854
6 29 162
0 18 178
2 14 849
14 17 508
3 13 181
0 10 232
8 27 729
7 14 272
11 20 208
6 16 768
14 23 159
11 18 756
6 15 340
17 28 616
12 25 224
9 12 6
9 16 459
2 11 534
19 25 55
9 11 464
5 8 644
6 8 61
30 60
0 1 1000
1 2 1000
2 3 1000
3 4 1000
4 5 1000
5 6 1000
6 7 1000
7 8 1000
8 9 1000
9 10 1000
10 11 1000
11 12 1000
12 13 1000
13 14 1000
14 15 1000
15 16 1000
16 17 1000
17 18 1000
18 19 1000
19 20 1000
20 21 1000
21 22 1000
22 23 1000
23 24 1000
24 25 1000
25 26 1000
26 27 1000
27 28 1000
28 29 1000
27 29 734
7 17 396
0 13 270
24 29 583
14 28 20
22 28 564
6 29 518
3 26 502
25 28 705
5 8 823
6 10 890
12 22 459
9 13 567
8 24 22
6 14 846
7 28 524
5 28 262
9 12 617
13 19 702
0 24 599
4 22 971
3 22 669
